Month,M,Day,Year,Date,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate,UE_rate_raw,
Feb,2,1,2018,2/1/2018,63.1,60.5,5081503,4868724,212779,4.2,0.042,
Mar,3,1,2018,3/1/2018,63.1,60.5,5084498,4874374,210124,4.1,0.041,
Apr,4,1,2018,4/1/2018,63,60.5,5085773,4878845,206928,4.1,0.041,
May,5,1,2018,5/1/2018,62.9,60.4,5083973,4880642,203331,4,0.040,
Jun,6,1,2018,6/1/2018,62.8,60.4,5080086,4880535,199551,3.9,0.039,
Jul,7,1,2018,7/1/2018,62.7,60.3,5075575,4879741,195834,3.9,0.039,
Aug,8,1,2018,8/1/2018,62.6,60.2,5072981,4879769,193212,3.8,0.038,
Sep,9,1,2018,9/1/2018,62.5,60.2,5073808,4881688,192120,3.8,0.038,
Oct,10,1,2018,10/1/2018,62.5,60.1,5077828,4885507,192321,3.8,0.038,
Nov,11,1,2018,11/1/2018,62.5,60.1,5083564,4890498,193066,3.8,0.038,
Dec,12,1,2018,12/1/2018,62.5,60.1,5088671,4895143,193528,3.8,0.038,
Jan,1,1,2019,1/1/2019,62.5,60.1,5091021,4898096,192925,3.8,0.038,
Feb,2,1,2019,2/1/2019,62.4,60.1,5089643,4898884,190759,3.7,0.037,
Mar,3,1,2019,3/1/2019,62.3,60,5086452,4898827,187625,3.7,0.037,
Apr,4,1,2019,4/1/2019,62.2,60,5084588,4900389,184199,3.6,0.036,
May,5,1,2019,5/1/2019,62.2,60,5086318,4905393,180925,3.6,0.036,
Jun,6,1,2019,6/1/2019,62.2,60,5092563,4914704,177859,3.5,0.035,
Jul,7,1,2019,7/1/2019,62.3,60.1,5104207,4929889,174318,3.4,0.034,
Aug,8,1,2019,8/1/2019,62.3,60.3,5117470,4947459,170011,3.3,0.033,
Sep,9,1,2019,9/1/2019,62.4,60.4,5129851,4964375,165476,3.2,0.032,
Oct,10,1,2019,10/1/2019,62.4,60.5,5138363,4976473,161890,3.2,0.032,
Nov,11,1,2019,11/1/2019,62.4,60.4,5138942,4977732,161210,3.1,0.031,
Dec,12,1,2019,12/1/2019,62.3,60.3,5137642,4975936,161706,3.1,0.031,
Jan,1,1,2020,1/1/2020,62.4,60.4,5147616,4988005,159611,3.1,0.031,
Feb,2,1,2020,2/1/2020,62.4,60.5,5156201,4995066,161135,3.1,0.031,
